1,Red Rooster Lanes,1,1
1,Red Rooster Lanes,2,1
1,Red Rooster Lanes,3,1
1,Red Rooster Lanes,1,2
1,Red Rooster Lanes,2,2
1,Red Rooster Lanes,3,2
1,Red Rooster Lanes,1,3
1,Red Rooster Lanes,2,3
1,Red Rooster Lanes,3,3
1,Red Rooster Lanes,1,4
1,Red Rooster Lanes,2,4
1,Red Rooster Lanes,3,4
2,Thunderbird Lanes,1,5
2,Thunderbird Lanes,2,5
2,Thunderbird Lanes,3,5
2,Thunderbird Lanes,1,6
2,Thunderbird Lanes,2,6
2,Thunderbird Lanes,3,6
2,Thunderbird Lanes,1,7
2,Thunderbird Lanes,2,7
2,Thunderbird Lanes,3,7
2,Thunderbird Lanes,1,8
2,Thunderbird Lanes,2,8
2,Thunderbird Lanes,3,8
3,Bolero Lanes,1,9
3,Bolero Lanes,2,9
3,Bolero Lanes,3,9
3,Bolero Lanes,1,10
3,Bolero Lanes,2,10
3,Bolero Lanes,3,10
3,Bolero Lanes,1,11
3,Bolero Lanes,2,11
3,Bolero Lanes,3,11
3,Bolero Lanes,1,12
3,Bolero Lanes,2,12
3,Bolero Lanes,3,12
4,Imperial Lanes,1,13
4,Imperial Lanes,2,13
4,Imperial Lanes,3,13
4,Imperial Lanes,1,14
4,Imperial Lanes,2,14
4,Imperial Lanes,3,14
4,Imperial Lanes,1,15
4,Imperial Lanes,2,15
4,Imperial Lanes,3,15
4,Imperial Lanes,1,16
4,Imperial Lanes,2,16
4,Imperial Lanes,3,16
5,Sports World Lanes,1,17
5,Sports World Lanes,2,17
5,Sports World Lanes,3,17
5,Sports World Lanes,1,18
5,Sports World Lanes,2,18
5,Sports World Lanes,3,18
5,Sports World Lanes,1,19
5,Sports World Lanes,2,19
5,Sports World Lanes,3,19
5,Sports World Lanes,1,20
5,Sports World Lanes,2,20
5,Sports World Lanes,3,20
6,Totem Lanes,1,21
6,Totem Lanes,2,21
6,Totem Lanes,3,21
6,Totem Lanes,1,22
6,Totem Lanes,2,22
6,Totem Lanes,3,22
6,Totem Lanes,1,23
6,Totem Lanes,2,23
6,Totem Lanes,3,23
6,Totem Lanes,1,24
6,Totem Lanes,2,24
6,Totem Lanes,3,24
7,Acapulco Lanes,1,25
7,Acapulco Lanes,2,25
7,Acapulco Lanes,3,25
7,Acapulco Lanes,1,26
7,Acapulco Lanes,2,26
7,Acapulco Lanes,3,26
7,Acapulco Lanes,1,27
7,Acapulco Lanes,2,27
7,Acapulco Lanes,3,27
7,Acapulco Lanes,1,28
7,Acapulco Lanes,2,28
7,Acapulco Lanes,3,28
8,Red Rooster Lanes,1,29
8,Red Rooster Lanes,2,29
8,Red Rooster Lanes,3,29
8,Red Rooster Lanes,1,30
8,Red Rooster Lanes,2,30
8,Red Rooster Lanes,3,30
8,Red Rooster Lanes,1,31
8,Red Rooster Lanes,2,31
8,Red Rooster Lanes,3,31
8,Red Rooster Lanes,1,32
8,Red Rooster Lanes,2,32
8,Red Rooster Lanes,3,32
9,Thunderbird Lanes,1,33
9,Thunderbird Lanes,2,33
9,Thunderbird Lanes,3,33
9,Thunderbird Lanes,1,34
9,Thunderbird Lanes,2,34
9,Thunderbird Lanes,3,34
9,Thunderbird Lanes,1,35
9,Thunderbird Lanes,2,35
9,Thunderbird Lanes,3,35
9,Thunderbird Lanes,1,36
9,Thunderbird Lanes,2,36
9,Thunderbird Lanes,3,36
10,Bolero Lanes,1,37
10,Bolero Lanes,2,37
10,Bolero Lanes,3,37
10,Bolero Lanes,1,38
10,Bolero Lanes,2,38
10,Bolero Lanes,3,38
10,Bolero Lanes,1,39
10,Bolero Lanes,2,39
10,Bolero Lanes,3,39
10,Bolero Lanes,1,40
10,Bolero Lanes,2,40
10,Bolero Lanes,3,40
11,Imperial Lanes,1,41
11,Imperial Lanes,2,41
11,Imperial Lanes,3,41
11,Imperial Lanes,1,42
11,Imperial Lanes,2,42
11,Imperial Lanes,3,42
11,Imperial Lanes,1,43
11,Imperial Lanes,2,43
11,Imperial Lanes,3,43
11,Imperial Lanes,1,44
11,Imperial Lanes,2,44
11,Imperial Lanes,3,44
12,Sports World Lanes,1,45
12,Sports World Lanes,2,45
12,Sports World Lanes,3,45
12,Sports World Lanes,1,46
12,Sports World Lanes,2,46
12,Sports World Lanes,3,46
12,Sports World Lanes,1,47
12,Sports World Lanes,2,47
12,Sports World Lanes,3,47
12,Sports World Lanes,1,48
12,Sports World Lanes,2,48
12,Sports World Lanes,3,48
13,Totem Lanes,1,49
13,Totem Lanes,2,49
13,Totem Lanes,3,49
13,Totem Lanes,1,50
13,Totem Lanes,2,50
13,Totem Lanes,3,50
13,Totem Lanes,1,51
13,Totem Lanes,2,51
13,Totem Lanes,3,51
13,Totem Lanes,1,52
13,Totem Lanes,2,52
13,Totem Lanes,3,52
14,Acapulco Lanes,1,53
14,Acapulco Lanes,2,53
14,Acapulco Lanes,3,53
14,Acapulco Lanes,1,54
14,Acapulco Lanes,2,54
14,Acapulco Lanes,3,54
14,Acapulco Lanes,1,55
14,Acapulco Lanes,2,55
14,Acapulco Lanes,3,55
14,Acapulco Lanes,1,56
14,Acapulco Lanes,2,56
14,Acapulco Lanes,3,56
