31,99,10005,1008
10,88,10004,1013
10,9,10010,1010
10,36,10014,1011
10,72,10012,1011
10,75,10001,1007
9,73,10014,1001
9,64,10007,1013
9,28,10003,1007
9,31,10002,1010
9,32,10010,1013
9,10,10005,1003
9,96,10009,1005
9,102,10013,1007
9,114,10005,1002
9,116,10003,1012
9,119,10012,1004
9,129,10004,1013
9,131,10014,1003
8,110,10006,1001
8,101,10004,1001
8,12,10014,1001
8,41,10013,1002
8,46,10009,1008
8,81,10013,1002
7,45,10015,1012
7,61,10015,1011
7,66,10005,1006
7,55,10002,1011
7,7,10004,1002
7,8,10006,1007
7,98,10012,1010
7,91,10009,1004
7,124,10006,1008
7,126,10009,1006
6,121,10004,1006
6,103,10010,1011
6,4,10007,1004
6,19,10009,1004
6,42,10002,1013
6,37,10006,1008
6,34,10004,1005
6,24,10001,1001
6,49,10014,1001
5,68,10009,1005
5,71,10002,1003
5,74,10004,1005
5,84,10007,1012
5,77,10015,1003
5,26,10001,1002
5,27,10015,1003
5,22,10004,1002
5,14,10001,1008
5,15,10007,1013
5,3,10001,1005
5,105,10002,1013
5,125,10001,1003
5,112,10015,1011
4,109,10014,1010
4,127,10010,1005
4,104,10010,1003
4,100,10015,1006
4,92,10012,1008
4,83,10010,1006
4,2,10006,1004
4,16,10010,1013
4,38,10013,1006
4,6,10014,1008
4,44,10006,1008
4,79,10006,1006
4,76,10005,1012
3,70,10010,1001
3,63,10009,1008
3,56,10010,1007
3,58,10001,1002
3,59,10004,1012
3,17,10002,1010
3,21,10005,1003
3,13,10003,1006
3,5,10006,1003
3,95,10010,1007
3,106,10003,1006
3,122,10014,1010
3,123,10013,1001
3,120,10002,1008
3,115,10007,1013
2,111,10012,1004
2,128,10003,1011
2,108,10004,1012
2,30,10009,1011
2,60,10010,1004
2,78,10010,1010
2,85,10015,1008
2,87,10007,1008
1,82,10014,1003
1,80,10002,1008
1,51,10013,1013
1,52,10010,1006
1,53,10002,1007
1,69,10004,1008
1,62,10003,1005
1,48,10002,1007
1,35,10005,1001
1,11,10005,1008
1,107,10007,1004
1,89,10003,1010
0,90,10006,1001
0,97,10012,1004
0,118,10014,1010
0,23,10012,1013
0,43,10001,1001
